[20:04:58.840] | INFO  | main                             | YandexComp                       | Select HUAWEI
[20:04:59.188] | INFO  | main                             | YandexComp                       | Select Xiaomi
[20:05:01.038] | INFO  | main                             | YandexComp                       | Button 'see else' available
[20:05:01.039] | INFO  | main                             | YandexComp                       | Wait button is clickable
[20:05:01.221] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi by price
[20:05:02.635] | INFO  | main                             | YandexComp                       | Button 'see else' available
[20:05:02.811] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[20:05:02.965] | INFO  | main                             | YandexComp                       | driver shutDown
[21:16:43.621] | INFO  | main                             | YandexComp                       | Initialized driver
[21:16:46.384] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (f9feab232766654eb44388e86c109929)
[21:16:48.237] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[21:16:49.828] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[21:16:53.284] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[21:16:53.659] | INFO  | main                             | YandexComp                       | Select HUAWEI
[21:16:54.027] | INFO  | main                             | YandexComp                       | Select Xiaomi
[21:16:55.536] | INFO  | main                             | YandexComp                       | Button 'see else' available
